Datetime,Category_title,Longitude,Latitude,Month,DayOfWeek
2025-07-05 15:00:00,Severe Storms,-78.7,31.1,7,5
2025-07-04 12:00:00,Severe Storms,117.8,20.1,7,4
2025-07-02 06:00:00,Severe Storms,146.8,25.7,7,2
2025-04-24 00:00:00,Sea and Lake Ice,-36.83,-56.25,4,3
2025-02-21 00:00:00,Sea and Lake Ice,-48.54,-77.51,2,4
2025-01-31 00:00:00,Sea and Lake Ice,-75.8,-72.69,1,4
2024-08-15 00:00:00,Sea and Lake Ice,-127.41,-72.61,8,3
2024-08-15 00:00:00,Sea and Lake Ice,-127.08,-72.46,8,3
2024-05-24 00:00:00,Sea and Lake Ice,-25.55,-75.37,5,4
2024-04-19 00:00:00,Sea and Lake Ice,-20.02,-75.52,4,4
2024-01-11 00:00:00,Sea and Lake Ice,21.01,-69.83,1,3
2023-09-08 00:00:00,Sea and Lake Ice,17.14,-69.38,9,4
2023-09-08 00:00:00,Sea and Lake Ice,18.3,-69.64,9,4
2023-01-27 00:00:00,Sea and Lake Ice,-27.16,-75.66,1,4
2022-12-02 00:00:00,Sea and Lake Ice,-60.27,-71.77,12,4
2022-10-21 00:00:00,Sea and Lake Ice,70.68,-68.36,10,4
2022-06-10 00:00:00,Sea and Lake Ice,-45.89,-76.9,6,4
2022-04-29 00:00:00,Sea and Lake Ice,99.61,-65.68,4,4
2022-03-25 00:00:00,Sea and Lake Ice,101.72,-65.06,3,4
2021-08-20 00:00:00,Sea and Lake Ice,-12.05,-71.01,8,4
2021-05-28 00:00:00,Sea and Lake Ice,-57.04,-75.57,5,4
2019-03-13 00:00:00,Sea and Lake Ice,113.9,-65.47,3,2
2019-03-13 00:00:00,Sea and Lake Ice,153.54,-68.1,3,2
2019-03-13 00:00:00,Sea and Lake Ice,148.2,-68.26,3,2
2019-03-12 00:00:00,Sea and Lake Ice,51.31,-65.98,3,1
2011-08-30 00:00:00,Sea and Lake Ice,-41.4727,-75.8853,8,1
2011-08-30 00:00:00,Sea and Lake Ice,-108.5265,-74.2006,8,1
2011-08-30 00:00:00,Sea and Lake Ice,146.7084,-67.6323,8,1
